"","Measure","Pathogen","Disease","AgeGroup","median","5%","95%"
"49","Deaths","Campylobacter","Irritable bowel syndrome","<5",0.00313586639935245,2.65444507030272e-05,0.0332493625768897
"50","Deaths","Campylobacter","Irritable bowel syndrome","5-64",0.0251422702358788,0.00337117186449158,0.112914557732528
"51","Deaths","Campylobacter","Irritable bowel syndrome","65+",0.14820068197995,0.0527604827390394,0.425751614790117
"52","Deaths","Campylobacter","Irritable bowel syndrome","All ages",0.195497365705084,0.0810711961557586,0.481805330658293
"53","Deaths","Campylobacter","Guillain-Barré syndrome","<5",0.00977985910519814,8.04821419273841e-05,0.0955084780736051
"54","Deaths","Campylobacter","Guillain-Barré syndrome","5-64",0.749491066005365,0.30051618687858,1.5655679822941
"55","Deaths","Campylobacter","Guillain-Barré syndrome","65+",8.57929115842741,3.75034616813238,15.8725965783987
"56","Deaths","Campylobacter","Guillain-Barré syndrome","All ages",9.421359029739,4.53952388948565,16.741726802523
"57","Deaths","Campylobacter","Initial and sequel disease","<5",0.0931506199707612,0.0163196866823027,0.357096321984597
"58","Deaths","Campylobacter","Initial and sequel disease","5-64",1.37953530605976,0.724276410735434,2.39691229849954
"59","Deaths","Campylobacter","Initial and sequel disease","65+",12.706491767928,7.45302503273618,20.2094401222037
"60","Deaths","Campylobacter","Initial and sequel disease","All ages",14.290484331222,8.9528546346092,21.8359638935577
"61","Deaths","Non-typhoidal Salmonella","Salmonellosis","<5",0.358328983415224,0.112923999645338,0.882073345409324
"62","Deaths","Non-typhoidal Salmonella","Salmonellosis","5-64",2.52910804898437,1.3988673069398,4.26159151161822
"63","Deaths","Non-typhoidal Salmonella","Salmonellosis","65+",9.83150149824418,5.99429620754596,14.9294826816826
"64","Deaths","Non-typhoidal Salmonella","Salmonellosis","All ages",12.8886709340124,8.77865428064516,18.2368194985259
"65","Deaths","Non-typhoidal Salmonella","Reactive arthritis","<5",0.00654863538466844,5.33897504841213e-05,0.0702951527099955
"66","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64",0.00274391171456642,2.20300579145026e-05,0.0333757434434279
"67","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+",0.00258619938231362,1.97382010281462e-05,0.0326982888659043
"68","Deaths","Non-typhoidal Salmonella","Reactive arthritis","All ages",0.0207892169561741,0.0021509016348951,0.103995623011926
"69","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5",0.0018388821786635,1.51319924952045e-05,0.0205011626577159
"70","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64",0.00379996902257205,0.000453689067884657,0.0199156546109694
"71","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+",0.019306400524679,0.00540235375087565,0.0676684354797807
"72","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","All ages",0.0299061364152021,0.00962642854396962,0.0879488402727963
"73","Deaths","Non-typhoidal Salmonella","Initial and sequel disease","<5",0.380728959669342,0.130649653155222,0.905405498923069
"74","Deaths","Non-typhoidal Salmonella","Initial and sequel disease","5-64",2.54300704234946,1.41381363344336,4.27449491366417
"75","Deaths","Non-typhoidal Salmonella","Initial and sequel disease","65+",9.86528477533098,6.03088244719949,14.959710453283
"76","Deaths","Non-typhoidal Salmonella","Initial and sequel disease","All ages",12.9577322909609,8.84989034366058,18.3022494926707
"77","Deaths","Shigella","Shigellosis","<5",0.00353616181373796,2.84809358145906e-05,0.036037187848322
"78","Deaths","Shigella","Shigellosis","5-64",0.0202315647715839,0.00250868157182946,0.088585696444089
"79","Deaths","Shigella","Shigellosis","65+",0.0410022834798943,0.00818199884960515,0.142926953671981
"80","Deaths","Shigella","Shigellosis","All ages",0.0799576038137491,0.0263450791713761,0.201563966912724
"81","Deaths","Shigella","Reactive arthritis","<5",9.84255376306737e-05,7.8712038561332e-07,0.00125165606876021
"82","Deaths","Shigella","Reactive arthritis","5-64",0.000114807191133626,8.91654236537099e-07,0.00144713258669909
"83","Deaths","Shigella","Reactive arthritis","65+",4.86370996819086e-05,3.76639730938173e-07,0.000614586904464908
"84","Deaths","Shigella","Reactive arthritis","All ages",0.000459390142162088,4.88595506684104e-05,0.0026440861511858
